principio;accion;indicaciones;presentacion;posologia;duracion;contraindicaciones;observaciones;otros_nombres;;
LAMIVUDINA ;Antiretroviral, inhibidor nucleosídico de la transcriptasa inversa del VIH-1 y VIH-2 ;Infección por el VIH-1 o el VIH-2, en combinación con otros antiretrovirales ;"Comprimidos de 150 mg y 300 mg 
- Solución oral de 50 mg/5 ml 
";"
Niños menores de 1 mes: 4 mg/kg/día divididos en 2 tomas 
- Niños de 1 mes a 12 años: 8 mg/kg/día divididos en 2 tomas 
- Adultos: 300 mg/día en 1 o 2 tomas 
";La duración del tratamiento depende de la eficacia y de la tolerancia de la lamivudina. ;"Administrar con precaución en caso de antecedentes de afectación hepática. 
- Puede provocar: trastornos digestivos (náuseas, vómitos, diarrea, etc.); más raramente: 
trastornos hematológicos, especialmente cuando se administra con zidovudina 
(neutropenia, anemia, trombocitopenia), miopatias, afectación hepática o pancreática. 
- Reducir la posología en caso de insuficiencia renal. 
- Embarazo: sin contraindicaciones 
- Lactancia: desaconsejado 
";"Para el tratamiento preventivo de la transmisión madre a hijo, informarse sobr el 
protocolo nacional. 
- Existen combinaciones a dosis fijas de lamivudina-zidovudina (Combivir®), de 
lamivudina-zidovudina-abcavir (Trizivir®) y de lamivudina-estavudina-nevirapina (Triomune®, Triviro®). 
- Conservación: 
• Comprimidos: temperatura inferior a 30ºC 
• Solución oral: temperatura inferior a 25ºC. Una vez abierta, la solución se conserva durante 
30 días como máximo. 
";;;
LEVODOPA + CARBIDOPA ;Antiparkinsoniano ;"Enfermedad de Parkinson y otros síntomas parkinsonianos, a excepción de los inducidos 
por neurolépticos 
";"Comprimidos de 100 mg de levodopa + 10 mg de carbidopa 
250 mg de levodopa + 25 mg de carbidopa 
";" Adultos: 
• Dosis inicial expresada en levodopa: 50 a 125 mg, 1 o 2 veces/día, después de las comidas 
Aumentar progresivamente de 50 a 125 mg cada día o cada 2 días hasta alcanzar la dosis óptima, que es estrictamente individual. 
• Dosis de mantenimiento usual: 750 a 1500 mg/día divididos en 3 o 4 tomas, después de 
las comidas. 
- Reducir la posología en ancianos
";Según la evolución clínica ;"No administrar en caso de psicosis grave, confusión mental, glaucoma de ángulo cerrado, 
infarto de miocardio reciente, melanoma maligno. 
- Puede provocar: 
• mientras se ajusta la posología: anorexia, vómitos, hipotensión ortostática, trastornos 
del ritmo cardiaco, agitación, insomnio o somnolencia, depresión; 
• trastornos menos inmediatos, frecuentes y señal de sobredosis: 
- disquinesia, temblores; 
- trastornos psíquicos, más frecuentes en ancianos: confusión mental, alucinaciones, 
delirio o depresión con o sin tendencias suicidas; 
• más tardíamente: fluctuación del efecto durante el día (en ese caso, administrar la dosis 
diaria en varias tomas) o disminución de la respuesta al tratamiento (progresión de la enfermedad). 
- Administrar con precaución en caso de trastornos psíquicos, enfermedad cardiaca, úlcera 
gastroduodenal. 
- No administrar con: antidepresivos IMAO, neurolépticos, reserpina. 
- Embarazo: CONTRAINDICADO - Lactancia: CONTRAINDICADO 
";"Ingerir los comprimidos sin masticar ni disolver. 
- Conservación: temperatura inferior a 30°C - 
[Medicamento particularmente sensible a la luz]";;;
LEVONORGESTREL ;Contracepción hormonal, microprogestágeno ;Contracepción oral ;Comprimido de 30 µg (0,03 mg), lámina de 28 o 35 comprimidos ;"1 comprimido cada día a la misma hora, sin interrupción, incluso durante la regla 
- Empezar: 
el primer día de la regla 
o inmediatamente después de un aborto 
o después de un parto: a partir del día 21 postparto, si la mujer no da el pecho 
";Mientras se desee contracepción, si no hay efectos indeseables;"No administrar en caso de cáncer de mama, enfermedad hepática grave o reciente, 
sangrado vaginal inexplicado, enfermedad tromboembólica evolutiva. 
- Puede provocar: oligo-amenorrea, irregularidad menstrual, náuseas, aumento de peso, 
tensión mamaria, trastornos del humor, acné, cefaleas. 
- Los inductores enzimáticos (rifampicina, rifabutina, nevirapina, nelfinavir, ritonavir, 
fenobarbital, fenitoína, carbamazepina , griseofulvina, etc.) reducen la eficacia anticonceptiva. Utilizar un dispositivo intrauterino a base de cobre o preservativos o la medroxiprogesterona inyectable. 
- Embarazo: CONTRAINDICADO 
- Lactancia: se recomienda esperar a 6 semanas después del parto para empezar con levonorgestrel. 
Sin embargo, si es el único contraceptivo disponible o aceptable, puede iniciarse a las 3 semanas del parto. 


";"El levonorgestrel es una alternativa en caso de contraindicación o de intolerancia a los 
estroprogestágenos . Sin embargo , su eficacia contraceptiva es inferior a la de los estroprogestágenos y su utilización es más exigente en términos de horarios de toma (no puede haber una diferencia de más de 3 horas). 
- En caso de olvido de un comprimido, tomarlo lo más pronto posible y luego seguir el 
tratamiento normalmente. Si el retraso es superior a 3 horas , el efecto contraceptivo disminuye y se recomienda tomar medidas suplementarias: preservativos durante 7 días y, si ha habido una relación sexual en los 5 días anteriores al olvido, contracepción de urgencia. 
- Conservación: temperatura inferior a 30°C 
";;;
MEDROXIPROGESTERONA ;Contraceptivo hormonal, progestágeno de larga duración de acción (3 meses) ;Contracepción;"Vial de 150 mg (150 mg/ml, 1 ml) para inyección IM 
";"150 mg por inyección, una inyección cada 12 semanas 
- La primera inyección se efectúa: 
entre el día 1 y 5 de la regla 
o inmediatamente después de un aborto 
o después de un parto: 
• si la mujer lacta: a partir de la 6ª semana. Sin embargo, si hay riesgo de perder de vista 
a la mujer o si esta contracepción es la sola disponible o aceptable, se puede administrar la inyección antes de la 6ª semana, tan pronto como se presenta la ocasión, incluso después del parto. 
• si la mujer no lacta: entre el 1º y 21º día después del parto 

";Mientras se desee contracepción, si no hay efectos indeseables. ;"No administrar en caso de cáncer de mama, hipertensión no controlada, antecedentes de 
trombosis arterial o venosa, insuficiencia coronaria, accidente vascular cerebral, diabetes no controlada o complicada , enfermedad hepática grave o reciente, sangrado vaginal inexplicado. 
- Puede provocar: irregularidades menstruales, amenorrea o menometrorragia, náuseas, 
vómitos, reacciones alérgicas, aumento de peso. 
- En el postparto es preferible esperar al 5º día si es posible porque el riesgo de hemorragia 
es mayor si se administra antes. 
- Realizar un examen clínico antes (tensión arterial, senos) y, si es necesario, durante el 
tratamiento. 
- El acetato de medroxiprogesterona es una suspensión: agitar el frasco antes de su uso. 
- Embarazo: CONTRAINDICADO 
";"La toma con comitante de inductores enzimáticos no parece que reduzca la eficacia contraceptiva del amedroxi progesterona . Por ello constituye una alternativa a los implantes y a los contraceptivos orales en las mujeres tratadas con inductores enzimáticos. 
- Las inyecciones siguientes pueden administrarse hasta 2 semanas antes y hasta 2 semanas 
después de la fecha prevista para la inyección, sin necesidad de añadir otro método anticonceptivo. 
- El retorno a un estado fértil (3 a 12 meses) puede prolongarse mucho más que la duración 
teórica de la actividad anticonceptiva de la medroxiprogesterona (3 meses). 
- Existe una combinación de 25 mg de acetato de medroxiprogesterona + 5 mg de cipionato 
de estradiol (Cyclofem®, Lunelle®) administrada en una inyección mensual. 
- Conservación: temperatura inferior a 30ºC 

";;;
MEDROXIPROGESTERONA/ESTRADIOL ;Contraceptivo hormonal combinado, estroprogestágeno de larga duración de acción (1 mes) ;"
Contracepción ";"Vial de 25 mg de acetato de medroxiprogesterona + 5 mg de cipionato de estradiol (0,5 ml) 
para inyección IM 
";"25 mg + 5 mg por inyección, una inyección cada 4 semanas 
- La primera inyección se efectúa: 
entre el día 1 y 5 de la regla 
o inmediatamente después de un aborto 
o a partir del día 21 postparto, si la mujer no da el pecho 
";Mientras se desee contracepción, si no hay efectos indeseables. ;" No administrar en caso de cáncer de mama, hiper tensión no controlada, diabetes no controlada o complicada, antecedentes de trombosis arterial o venosa , insuficiencia coronaria , valvulopatías, accidente vascular cerebral, enfermedad hepática grave o reciente, sangrado vaginal inexplicado, migrañas con signos neurológicos, insuficiencia renal, hiperlipidemia, tabaquismo en mujeres > 35 años. 
Puede provocar: oligoamenorrea, candidiasis vaginal, náuseas, aumento de peso, tensión 
mamaria, trastornos del humor, acné, cefaleas. Otros efectos secundarios raros y graves requieren la interrupción del tratamiento: hipertensión, accidentes cardiovasculares y tromboembólicos, ictericia, adenoma hepático, migrañas, trastornos visuales. 
Los inductores enzimáticos (rifampicina, rifabutina, nevirapina, nelfinavir, ritonavir, fenobarbital, fenitoína, carbamazepina, griseofulvina, etc .) reducen la eficacia anticonceptiva. Utilizar un contraceptivo no hormonal (dispositivo intrauterino a base de cobre, preservativos) o un contraceptivo oral que contenga 50 µg de etinilestradiol (pero no se excluye el riesgo de fracaso y el riesgo de efectos indeseables aumenta) o medroxiprogesterona inyectable (vial de 150 mg). 
Realizar exámenes clínicos antes (presión arterial, senos) y durante el tratamiento (presión 
arterial). 
Embarazo: CONTRAINDICADO Lactancia: CONTRAINDICADO durante las primeras 6 semanas después del parto; desaconsejado 
entre las 6 semanas y los 6 meses (excepto si constituye la sola forma de contracepción disponible o aceptable); sin contraindicaciones a partir de los 6 meses. 
";"Las inyecciones siguientes pueden administrarse hasta 7 días antes y hasta 7 días después 
de la fecha prevista para la inyección, sin necesidad de añadir otro método anticonceptivo. 
- La asociación medroxiprogesterona + estradiol tiene la ventaja de ser mejor tolerada que 
los progestágenos inyectables solos (medroxiprogesterona o noretisterona) pero no puede utilizarse en mujeres en las que los estrógenos están contraindicados y el intervalo entre las inyecciones es de solamente un mes. 
- Conservación: temperatura inferior a 30ºC
";;;
LEVONORGESTREL para contracepción de urgencia ;Contraceptivo hormonal, progestágeno ;Prevención de un embarazo en caso de olvido o ausencia de contracepción ;Comprimidos de 750 µg y 1,5 mg ;"Un comprimido de 1,5 mg o 2 comprimidos de 750 µg dosis única, lo antes posible 
después de la relación sexual, sea cual sea el momento del ciclo, preferentemente dentro de las primeras 72 horas ya que la eficacia contraceptiva disminuye con el tiempo. Sin embargo, se recomienda indicar el tratamiento hasta 120 horas (5 días) después de la relación sexual. 
";"
";"Sin contraindicaciones. 
- Puede provocar: metrorragia dentro de los 7 días siguientes a la administración, náuseas. 
- Repetir el tratamiento en caso de vómitos dentro de las 3 horas siguientes a la toma de los 
comprimidos. 
- En las mujeres tratadas con un medicamento inductor enzimático (rifampicina, rifabutina, 
griseofulvina, fenitoína, fenobarbital, carbamazepina, ciertos antiretrovirales), la eficacia contraceptiva puede reducirse: por prudencia, doblar la dosis (3 mg dosis única). Sin embargo, cuando se inicia un tratamiento antiretroviral profiláctico al mismo tiempo que la contracepción de urgencia, no es necesario doblar la dosis de levonorgestrel. 
- Embarazo: no hay efecto nocivo conocido para el feto en caso de fracaso del tratamiento con 
embarazo subsiguiente o utilización concomitante con un embarazo no diagnosticado. 
- Lactancia: sin contraindicaciones 
";"La contracepción de urgencia tiene por objeto prevenir el embarazo; no permite interrumpir 
un embarazo establecido. 
- Existe el riesgo de fracaso del tratamiento, hacer un test de embarazo si la menstruación 
no aparece: 
• en los 5 a 7 días después de la fecha prevista, si ésta se conoce, • o en los 21 días. 
- Conservación: temperatura inferior a 30°C 
";;;
LOPERAMIDA ;Antidiarreico opiáceo ;"Tratamiento sintomático de la diarrea persistente en pacientes infectados por el VIH, en 
combinación con la rehidratación 
";"Cápsula o comprimido de 2 mg 
Existe también una solución oral de 1 mg/5 ml. 
";"Niños de 2 a 5 años: 3 mg/día divididos en 3 tomas 
- Niños de 6 a 8 años: 4 mg/día divididos en 2 tomas 
- Niños mayores de 8 años: 6 mg/día divididos en 3 tomas 
- Adultos: 4 mg (2 cápsulas) en una toma, seguidos de 2 mg (1 cápsula) después de cada 
deposición líquida, sin sobrepasar 16 mg/día (8 cápsulas/día). 
";Según la evolución clínica ;"No sobrepasar las dosis indicadas. 
- No administrar a niños menores de 2 años. 
- No administrar en caso de diarrea con sangre, rectocolitis hemorrágica, diarrea debida a 
tratamiento antibacteriano. 
- Puede provocar: estreñimiento, reacción cutánea alérgica, somnolencia, vértigo. - En caso de sobredosis, tratar con naloxona. 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"La rehidratación es indispensable y debe ser adecuada a la intensidad de la diarrea. 
- La loperamida no forma parte de la lista de medicamentos esenciales de la OMS. 
- Conservación: temperatura inferior a 30°C - 
[Medicamento particularmente sensible a la luz]";;;
LOPINAVIR + RITONAVIR;Antiretrovirales, inhibidores de proteasa del VIH-1 y VIH-2 ;"
Infección por el VIH-1 o el VHI-2, en combinación con otros antiretrovirales ";"Comprimido lacado de 100 mg de lopinavir/25 mg de ritonavir 
- Comprimido lacado de 200 mg de lopinavir/50 mg de ritonavir 
- Solución oral de 80 mg de lopinavir/20 mg de ritonavir/ml, que contiene un 42% de 
etanol (v/v), con una jeringa graduada para administración oral 
";"Niños de 14 días a 6 meses: 32/8 mg/kg/día divididos en 2 tomas 
- Niños mayores de 6 meses: 
• 7 a 15 kg: 24/6 mg/kg/día divididos en 2 tomas • 15 a 40 kg: 20/5 mg/kg/día divididos en 2 tomas 
- Adultos: 800/200 mg/día divididos en 2 tomas 
"; según la eficacia y la tolerancia del LPV/r;"No administrar en caso de insuficiencia hepática severa. 
- No administrar la solución oral en caso de insuficiencia renal o hepática. 
- Puede provocar: 
• trastornos digestivos (principalmente diarrea), erupción cutánea, prurito; 
• trastornos hepáticos (aumento de las transamiasas) y pancreáticos, alteraciones 
metabólicas (lipodistrofia  , hiperlipidemia, diabetes mellitus con intolerancia a la glucosa y/o resistencia a la insulina). 
- El LPV/r puede reducir la eficacia de los contraceptivos orales: utilizar un contraceptivo 
no hormonal o la medroxiprogesterona inyectable o un contraceptivo oral que contenga 50 µg de etinilestradiol por comprimido. 
- No asociar con rifampicina (utilizar la rifabutina). 
- Administrar con precaución en pacientes con hemofilia (riesgo de hemorragia) y en caso de insuficiencia hepática o renal. 
- Embarazo: CONTRAINDICADO para la solución oral 
";"Los comprimidos se pueden tomar tanto durante como fuera de las comidas. La solución 
oral debe tomarse durante las comidas. En caso de combinación de la solución oral de LPV/r con didanosina, ya que la didanosina debe tomarse en ayunas, administrar la didanosina 1 hora antes o 2 horas después del LPV/r. 
- Los comprimidos no deben ser masticados ni molidos. 
- Conservación: comprimidos: temperatura inferior a 30 °C ; solución oral : entre 2 º C y 8 º C . En ausencia de frigorífico, la solución oral se conserva durante 6 semanas como máximo a una temperatura inferior a 25ºC. 
";;;
MEBENDAZOL ;Antihelmíntico;"Áscaridiasis (Ascaris lumbricoides), tricocefalosis (Trichuris trichiura), anquilostomiasis 
(Ancylostoma duodenale, Necator americanus), oxiurosis (Enterobius vermicularis), triquiniasis 
(Trichinella sp) 
";Comprimidos de 100 mg y 500 mg ;"Áscaridiasis, tricocefalosis, anquilostomiasis 
Niños mayores de 6 meses y adultos: 100 mg 2 veces por día durante 3 días 
Niños mayores de 6 meses pero de menos de 10 kg de peso: 50 mg 2 veces por día durante 
3 días 
- Oxiurosis 
Niños mayores de 6 meses y adultos: 100 mg dosis única 
Niños mayores de 6 meses pero de menos de 10 kg de peso : 50 mg dosis única Puede administrarse una segunda dosis al cabo de 2 a 4 semanas. 
- Triquiniasis 
Niños mayores de 2 años: 5 mg/kg/día divididos en 2 tomas durante 10 a 15 días 
Adultos: 400 mg/día divididos en 2 tomas durante 10 a 15 días 
";"
";"No administrar en niños menores de 6 meses. 
- Puede provocar: trastornos digestivos, cefaleas, vértigo. - Embarazo: debe ser evitado durante el 1er trimestre 
- Lactancia: sin contraindicaciones ";"
Preferir el albendazol al mebendazol : es más fácil de utilizar y más interesante en las 
infecciones mixtas (espectro de actividad más amplio). 
- Los comprimidos se mastican o trituran: seguir las instrucciones del fabricante. - Tomar fuera de las comidas. 
- Conservación: [Medicamento particularmente sensible a la luz]
";;;
MEFLOQUINA ;Antipalúdico;"Tratamiento del paludismo no complicado por P. falciparum, en combinación con artesunato 
- Continuación del tratamiento parenteral del paludismo severo por P. falciparum, en 
combinación con artesunato 
- Prevención del paludismo por P. falciparum en sujetos no inmunes 
";Comprimido divisible de 250 mg ;"Tratamiento del paludismo por P. falciparum (asociado al artesunato administrado los días D1, D2, D3) 
Niños de 3 meses (? 5 kg) a 6 años: 25 mg base/kg dosis única 
Niños a partir de 7 años y adultos: 25 mg base/kg divididos en 2 tomas (15 mg base/kg el día 1 y 10 mg base/kg el día 2) 
- Prevención del paludismo por P. falciparum 
 Niños ? 3 meses (? 5 kg): 5 mg base/kg, un día por semana 
Adultos: 250 mg base, un día por semana 
Empezar el tratamiento preventivo 2 a 3 semanas antes de la salida y continuar durante 4 semanas después del regreso. 
";;"No administrar en caso de trastornos neuropsiquiátricos (o antecedentes), convulsiones, hipersensibilidad a la mefloquina o a la quinina; tratamiento con mefloquina en las 4 semanas precedentes. 
- Como continuación del tratamiento parenteral del paludismo severo: no administrar si el paciente ha desarrollado signos neurológicos durante la fase aguda. 
- En profilaxis: no administrar en caso de insuficiencia hepática severa. 
- Puede provocar: 
• trastornos digestivos, vértigo, cefaleas, trastornos del sueño (en profilaxis, estos efectos habitualmente son transitorios); 
• más raramente: trastornos neuropsiquiátricos, trastornos del ritmo cardiaco, hipo o hipertensión, alergias cutáneas. 
- Si el paciente vomita antes de 30 minutos siguientes a la toma, administrar de nuevo la misma dosis. Si vomita entre 30 y 60 minutos después de la toma, administrar la mitad de la dosis. 
- No asociar con: antiepilépticos (riesgo de convulsiones), coartemetero, cloroquina, 
halofantrina (riesgo de convulsiones, cardiotoxicidad). 
- No administrar simultáneamente con quinina (riesgo de convulsiones, cardiotoxicidad). En caso de utilizar la mefloquina en continuación del tratamiento IV con quinina, respetar un intervalo de 12 horas entre la última dosis de quinina y la administración de mefloquina. 
- Administrar con precaución en pacientes tratados con antiarrítmicos, betabloqueantes, inhibidores cálcicos y digitálicos (riesgo de trastornos del ritmo cardiaco). 
- Embarazo: sin contraindicaciones durante el 2º y 3º trimestre. La inocuidad durante el primer trimestre no está establecida formalmente . Sin embargo, habida cuenta del  riesgo ligado al paludismo, puede utilizarse la asociación artesunato-mefloquina durante el primer trimestre si ésta es el solo tratamiento eficaz disponible. 
- Lactancia: sin contraindicaciones ";Conservación: temperatura inferior a 25°C - [Medicamento particularmente sensible a la humedad];;;
DIPIRONA;"Analgésico 
- Antipirético 
";"Dolor intenso 
- Fiebre alta 
";Comprimido de 500 mg ;"Niños mayores de 5 años: 250 mg a 1 g/día divididos en 3 tomas 
- Adultos: 500 mg a 3 g/día divididos en 3 tomas 
";Según la evolución clínica, 1 a 3 días ;"No administrar en caso de úlcera gástrica. 
- Puede provocar: casos graves y mortales de agranulocitosis. Limitar su utilización a los  casos en que los antipiréticos y analgésicos usuales (ácido acetilsalicílico, paracetamol), no hayan sido eficaces. 
- Embarazo: debe ser evitado - Lactancia: debe ser evitado 
";"El metamizol no forma parte de la lista de medicamentos esenciales de la OMS. 
- Conservación: no requiere precauciones particulares respecto a la temperatura 
";;;
METILDOPA ;Antihipertensivo de acción central ;Hipertensión arterial gravídica ;Comprimido de 250 mg ;"Empezar por 500 a 750 mg/día divididos en 2 o 3 tomas durante 2 días. Si es necesario, 
aumentar gradualmente de 250 mg cada 2 a 3 días, hasta alcanzar la dosis eficaz, habitualmente alrededor de 1,5 g/día. No sobrepasar 3 g/día. 
";"Según la evolución clínica. No interrumpir el tratamiento bruscamente, disminuir las dosis 
progresivamente
";"No administrar en caso de enfermedad hepática activa, antecedentes de hepatitis 
medicamentosa, depresión grave. 
- Administrar con precaución en caso de insuficiencia hepática y reducir la posología en caso de insuficiencia renal. 
- Puede provocar: 
• hipotensión ortostática, somnolencia, cefaleas, trastornos digestivos, sequedad de boca, • raramente: trastornos hematológicos, hepáticos, psíquicos; reacciones alérgicas. 
- Suspender el tratamiento en caso de aparición de anemia hemolítica o ictericia. 
- En caso de aparición de fiebre inexplicada, a ser posible, controlar el hemograma con recuento y fórmula y las transaminasas (hepatitis medicamentosa posible). 
- Vigilar la asociación con litio (riesgo de sobredosis de litio), antidepresivos (hipotensión incrementada), depresores del sistema nervioso central (sedación incrementada). 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";Conservación: temperatura inferior a 30ºC;;;
METOCLOPRAMIDA;Antiemético (antagonista de la dopamina);Prevención y tratamiento sintomático de náuseas y vómitos en adultos ;Ampolla de 10 mg (5 mg/ml, 2 ml) para inyección IM o IV lenta (3 minutos como mínimo) ;Adultos: 10 mg cada 8 horas si es necesario ;según la evolución clínica, tan cortó como sea posible;"No administrar en niños < 1 8 años ; en caso de hemorragia, obstrucción o perforación 
gastrointestinal. 
- Reducir la posología a la mitad en caso de insuficiencia renal severa. 
- Administrar con precaución y bajo vigilancia en pacientes > 60 años o con epilepsia o 
enfermedad de Parkinson. 
- Puede provocar : somnolencia , vértigos, confusión, síntomas extrapiramidales, 
convulsiones (principalmente en pacientes epilépticos), reacciones alérgicas, trastornos cardiacos (hipotensión, bradicardia, parocardíaco) ; síndrome neuroléptico maligno (hipertermia inexplicable con trastornos neuromusculares), excepcional, pero que obliga a la suspensión inmediata del tratamiento. 
- No asociar con levodopa (antagonismo). 
- Evitar la asociación con los medicamentos que deprimen el sistema nervioso central 
(analgésicos opioides, sedantes, antipsicóticos, antidepresivos, antihistamínicos, etc.) y los antihipertensivos (aumento del riesgo de hipotensión). 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"En las náuseas y vómitos postoperatorios, la eficacia de la metoclopramida es limitada. 
- En la prevención y el tratamiento de los vómitos inducidos por la quimioterapia en 
oncológica, se utilizan dosis más elevadas: 2 a 10 mg/kg/día en perfusión IV. 
- La metoclopramida también se utiliza como procinético gastroduodenal en los pacientes 
en cuidados intensivos que precisan nutrición enteral por sonda. 
- Conservación: temperatura inferior a 30°C - 
[Medicamento particularmente sensible a la luz]";;;
METRONIDAZOL;"Amebiasis, giardiasis, tricomoniasis. 
Vaginitis bacteriana, infecciones por bacterias anaerobias (Clostridum sp, Bacteroides sp, etc.) 
"; ;"Comprimidos de 200 mg, 250 mg, 400 mg y 500 mg 
- Suspensiones orales de 125 mg/5 ml y 200 mg/5 ml 


";"Amebiasis 
Niños: 45 mg/kg/día divididos en 3 tomas 
Adultos: 500 a 800 mg 3 veces al día 
El tratamiento dura 5 días en la amebiasis intestinal y 5 a 10 días en la amebiasis hepática. 
Giardiasis 
Niños: 30 mg/kg/día en una toma durante 3 días 
Adultos: 2 g/día en una toma durante 3 días 
Tricomoniasis y vaginitis bacteriana 
Adultos: 2 g dosis única 
En caso de tricomoniasis, tratar también a la pareja sexual. 
Infecciones por bacterias anaerobias 
Niños: 30 mg/kg/día divididos en 3 tomas 
Adultos: 500 mg 3 veces al día 
Dependiendo de la indicación, el metronidazol puede utilizarse en asociación con uno o varios antibióticos; la duración del tratamiento depende de la indicación. E
"; ;"No administrar en caso de alergia al metronidazol u otros nitroimidazoles (tinidazol, 
secnidazol, etc.). 
- Puede provocar: trastornos digestivos; raramente: reacciones alérgicas, coloración oscura 
de la orina, cefaleas, vértigo. Riesgo de efecto antabús en asociación con la toma de alcohol. 
- Administrar con precaución en los pacientes en tratamiento con anticoagulantes orales 
(riesgo hemorrágico) , litio , fenitoína, ergometrina (aumento de las concentraciones sanguíneas de estos medicamentos). 
- Reducir la posología (1/3 de la dosis diaria en una toma) en caso de insuficiencia hepática 
severa. 
- Embarazo: sin contraindicaciones; fraccionar las dosis, evitar los tratamientos prolongados. 
- Lactancia: paso importante a la leche materna (riesgo de efectos secundarios digestivos en los 
lactantes); fraccionar las dosis, evitar los tratamientos prolongados. 

";" Conservación: temperatura inferior a 30°C - [Medicamento particularmente sensible a la luz]
Una vez abierta, la suspensión oral se conserva durante 15 días como máximo. 
";;;
MICONAZOL;Antifúngico ;Candidiasis orofaríngea en pacientes inmunodeprimidos ;Comprimido bucal muco-adhesivo de 10 mg ;"Niños mayores de 7 años y adultos: 1 comprimido/día durante 7 días; puede ser necesario 
un tratamiento de 14 días. 
Humedecer el comprimido con la lengua y aplicar sobre la encía superior, encima de un 
incisivo lateral. Ejercer una presión con el dedo índice sobre el labio superior durante 20 segundos. El comprimido permanece sobre la encía y liberal lentamente miconazol durante 8 a 12 horas. 
";"
";"Puede provocar: náuseas, alteración del gusto. 
- Vigilar los pacientes tratados con warfarina (aumento del efecto anticoagulante). 
- Embarazo: sin contraindicaciones 
- Lactancia: sin contraindicaciones ";"No chupar, mascar o ingerir los comprimidos: al ser un tratamiento local, ingerir los 
comprimidos no es peligroso pero es ineficaz. 
- Si el comprimido se despega antes de 6 horas, reemplazarlo (una sola vez en 24 horas). En 
caso de tragar el comprimido, beber un vaso de agua. 
- Los comprimidos muco-adhesivos de miconazol no están contraindicados en niños 
pequeños pero su utilización correcta es difícil en niños menores de 7 años. 
- Conservación: temperatura inferior a 25°C - 
Los comprimidos están envasados en envase blister de 7 comprimidos. No sacarlos de su envase con 
antelación. Una vez sacado del blister, el comprimido debe ser administrado inmediatamente. 
";;;
MISOPROSTOL;Agente madurante del cuello uterino, oxitócico (prostaglandina) ;"Inducción del parto cuando la continuación del embarazo es peligrosa para la madre y/o 
el feto y el cuello es desfavorable, p.ej. en caso de muerte fetal intrauterina o preeclampsia 
severa  
- Tratamiento de la hemorragia postparto causada por atonía uterina, en ausencia o en caso 
de fracaso de los oxitócicos inyectables 
 
- Aborto incompleto del primer trimestre 
";Medicamento de uso hospitalario;"Inducción del parto 
• muerte fetal intrauterina: 200 µg (segundo trimestre) o 100 µg (tercer trimestre) o 50 µg 
(ultimo mes) por vía vaginal, cada 6 horas hasta el inicio del parto (hasta un máximo 
3 dosis/24 horas, que puede repetirse si es necesario el día siguiente) 
• embarazo en evolución: 50 µg por vía vaginal cada 6 horas o 25 µg por vía oral cada 
2 horas hasta el inicio del parto (hasta un máximo de 150 µg) 


- Hemorragia postparto 
600 µg por vía rectal o sublingual, dosis única 
 
 
 
- Aborto incompleto del primer trimestre 
600 µg por vía oral, dosis única 
";;"Durante el 2º y 3 trimestre de gestación: er 
• No administrar en caso de presentación distócica, verdadera desproporción pélvico- 
cefálica, placenta previa completa. 
• En caso de antecedente de cesárea y en grandes multíparas: 
- Si el feto es viable: está indicada la cesárea, no administrar el misoprostol (riesgo de 
ruptura uterina); 
- Si el feto está muerto o no es viable o es viable pero no es posible practicar una cesárea: 
reducir la dosis a la mitad (riesgo de ruptura uterina). 
- Por la inducción del parto: 
• No administrar simultáneamente con oxitocina. Esperar 6 horas tras la última dosis de 
misoprostol antes de administrar oxitocina. 
• Es imprescindible vigilar regularmente la intensidad y la frecuencia de las contracciones 
uterinas. 
• Si el feto es viable, el ritmo cardíaco fetal debe vigilarse necesariamente en los 30 minutos 
siguientes a la administración de una dosis de misoprostol y en cuanto se perciben o detectan contracciones. 
- Puede provocar: trastornos digestivos, cefaleas, vértigo, fiebre, escalofríos, hipertonía 
uterina, ruptura uterina, sufrimiento fetal agudo. 
- Lactancia: sin contraindicaciones 
";"Cuando el cuello es favorable, realizar la inducción del parto por medio de la 
administración de oxitocina y ruptura artificial de membranas. 
 
- Conservación: temperatura inferior a 30°C 
";;;
