id;certificado;cuit;laboratorio;gtin;troquel;comercial;forma;generico;pais;expendio;trazabilidad;presentacion;precio;es_hospitalario
60.077;35278;30500846301;Abbott Laboratories Argentina S.A.;07790440512012;235079-3;Iruxol;Ungüento Dermico;Cloranfenicol 1 G + Colagenasa 60 Ui;Brasil (Republica Federativa Del Brasil);Bajo Receta;Fuera de disposición;1 Envase Por 15 G;120,7;0
60.535;31804;30500846301;Abbott Laboratories Argentina S.A.;07790440408117;;Isoptino Md;Comprimido Recubierto;Verapamilo 240 Mg/Comprimido;;Bajo Receta;;1 Envase Por 30 Unidades;292,48;0
61.395;31804;30500846301;Abbott Laboratories Argentina S.A.;07790440504215;;Isoptino 80 Mg;Comprimido Recubierto;Verapamilo Clorhidrato 80 Mg/Comprimido;;Bajo Receta;;1 Envase Por 30 Unidades;85,74;0
29.372;38778;30500846301;Abbott Laboratories Argentina S.A.;07790440321416;395302;Klaricid 500 Mg;Comprimido;Claritromicina 500 Mg;;Bajo Receta Archivada;Fuera de disposición;Blister Por 8 Unidades;123,9;0
95.241;38778;30500846301;Abbott Laboratories Argentina S.A.;07790440321423;395302;Klaricid 500 Mg;Comprimido;Claritromicina 500 Mg;;Bajo Receta Archivada;Fuera de disposición;Blister Por 16 Unidades;204,51;0
81.823;43427;30500846301;Abbott Laboratories Argentina S.A.;07790440250648;3023814;Forane;Solucion Para Inhalar;Isoflurano 100 %;Inglaterra;Bajo Receta;1831/12 Anexo;1 Envase Por 100 Ml;715,29;0
30.282;38778;30500846301;Abbott Laboratories Argentina S.A.;07790440336816;310384;Klaricid 250 Mg;Comprimido;Claritromicina 250 Mg;;Bajo Receta Archivada;Fuera de disposición;Blister Por 8 Unidades;70,49;0
95.679;38778;30500846301;Abbott Laboratories Argentina S.A.;07790440336830;310384;Klaricid 250 Mg;Comprimido;Claritromicina 250 Mg;;Bajo Receta Archivada;Fuera de disposición;Blister Por 16 Unidades;151,94;0
32.430;34765;30500846301;Abbott Laboratories Argentina S.A.;07790440471012;213041;Cofron Jarabe Pediatrico;Jarabe;Clofedianol 140 Mg / 100 Ml + Bromhexina 20 Mg / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 120 Ml;35,29;0
32.431;34765;30500846301;Abbott Laboratories Argentina S.A.;07790440471036;213041;Cofron Jarabe Pediatrico;Jarabe;Clofedianol 140 Mg / 100 Ml + Bromhexina 20 Mg / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 180 Ml;63,16;0
198.413;34765;30500846301;Abbott Laboratories Argentina S.A.;07790440471029;213041;Cofron Jarabe Pediatrico;Jarabe;Clofedianol 140 Mg / 100 Ml + Bromhexina 20 Mg / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 100 Ml;37,73;0
48.098;31804;30500846301;Abbott Laboratories Argentina S.A.;;;Isoptino Retard;Capsula Con Microgranulos De Liberacion Prolongada;Verapamilo Clorhidrato 120 Mg;;Bajo Receta;;Envase Por 20;;0
32.939;39745;30500846301;Abbott Laboratories Argentina S.A.;07790440781425;326860;Klaricid Suspension Pediatrica;Granulado Para Suspensión Oral;Claritromicina 125 Mg/5 Ml;;Bajo Receta Archivada;Fuera de disposición;1 Frasco Por 60 Ml;106,19;0
34.857;49278;30500846301;Abbott Laboratories Argentina S.A.;05013158779235;576239;Kaletra;Comprimido Recubierto;Lopinavir 100 Mg + Ritonavir 25 Mg;Alemania (Republica Federal De Alemania);Bajo Receta;3683/11;1 Botella Por 60 Unidades;2785,97;0
70.814;35702;30500846301;Abbott Laboratories Argentina S.A.;07790440409718;257940;Normorytmin 300 Mg;Comprimido Recubierto;Propafenona 300 Mg;;Bajo Receta;Fuera de disposición;Blister Por 20 Unidades;238,09;0
70.815;35702;30500846301;Abbott Laboratories Argentina S.A.;07790440409725;257940;Normorytmin 300 Mg;Comprimido Recubierto;Propafenona 300 Mg;;Bajo Receta;Fuera de disposición;Blister Por 50 Unidades;507,31;0
39.663;46634;30500846301;Abbott Laboratories Argentina S.A.;07790440450611;434598;Tiadyl 8 Mg;Comprimido;Candesartan Cilexetil 8 Mg;;Bajo Receta;Fuera de disposición;Blister Por 15 Unidades;125,1;0
184.654;46634;30500846301;Abbott Laboratories Argentina S.A.;07790440450628;434598;Tiadyl 8 Mg;Comprimido;Candesartan Cilexetil 8 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;245,92;0
39.668;46634;30500846301;Abbott Laboratories Argentina S.A.;07790440450727;434605;Tiadyl 16 Mg;Comprimido;Candesartan Cilexetil 16 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;368,82;0
44.505;38778;30500846301;Abbott Laboratories Argentina S.A.;07790440429952;420472;Klaricid U.D;Comprimido De Liberacion Controlada;Claritromicina 500 Mg/Comprimido;;Bajo Receta Archivada;Fuera de disposición;1 Blister Por 5 Unidades;74,73;0
41.941;38778;30500846301;Abbott Laboratories Argentina S.A.;07790440429921;420472;Klaricid U.D;Comprimido De Liberacion Controlada;Claritromicina 500 Mg/Comprimido;;Bajo Receta Archivada;Fuera de disposición;1 Blister Por 8 Unidades;119,57;0
198.672;57483;30500846301;Abbott Laboratories Argentina S.A.;07790440568514;630568;Elipsia 45 Mg;Capsula De Liberacion Prolongada;Acido Fenofibrico (Fenofibrato De Colina) 45 Mg;Irlanda (Irlanda);Bajo Receta;Fuera de disposición;Frasco Por 30 Unidades;247,54;0
198.678;57483;30500846301;Abbott Laboratories Argentina S.A.;07790440568415;630571;Elipsia 135 Mg;Capsula De Liberacion Prolongada;Acido Fenofibrico (Fenofibrato De Colina) 135 Mg;Irlanda (Irlanda);Bajo Receta;Fuera de disposición;1 Frasco Por 90 Unidades;291,23;0
3.354;19134;30500846301;Abbott Laboratories Argentina S.A.;07790440668306;No corresponde;Dayamineral;Comprimido Filmtab;Vitamina D 1000 Ui + Molibdeno ,45 Mg + Vitamina B12 5 Mcg + Acido Folico ,25 Mg + Riboflavina 10 Mg + Piridoxina 1,5 Mg + Nicotinamida 35 Mg + Pantotenato De Calcio 5 Mg + Acido Ascorbico 150 Mg + Potasio Sulfato 11 Mg + Sulfato De Cobre Pentahidrato 2,8 Mg + Tiamina Mononitrato 10 Mg + Vitamina A (Como Acetato) 5000 Ui + Sulfato Ferroso Heptahidratado 34 Mg + Fosfato Bibasico De Calcio Anhidro 339,45 Mg + Iodato De Calcio Hexahidratado ,201 Mg + Sulfato De Cobalto Heptahidratado ,49 Mg + Sulfato De Manganeso Monohidratado 3 Mg + Sulfato De Magnesio Heptahidratado 40 Mg + Sulfato De Zinc Heptahidratado 3,9 Mg;;Venta Libre;Fuera de disposición;1 Frasco Por 30 Unidades;82,5;0
15.671;31804;30500846301;Abbott Laboratories Argentina S.A.;07790440407813;;Isoptino Retard;Comprimido Recubierto;Verapamilo Clorhidrato 120 Mg;;Bajo Receta;;1 Envase Por 20 Unidades;153,55;0
16.679;19134;30500846301;Abbott Laboratories Argentina S.A.;07790440666913;No corresponde;Dayamineral Gotas;Solución Para Gotas;Vitamina D 666,67 Ui / 1 Ml + Retinol 8333,33 Ui / 1 Ml + Tiamina 2,5 Mg / 1 Ml + Riboflavina 2 Mg / 1 Ml + Piridoxina ,83 Mg / 1 Ml + Nicotinamida 16,67 Mg / 1 Ml + Acido Ascorbico 83,33 Mg / 1 Ml + Sulfato De Manganeso 1,54 Mg / 1 Ml + Potasio Sulfato 5,57 Mg / 1 Ml + Zinc Sulfato 1,74 Mg / 1 Ml + Gluconato Ferroso 28,79 Mg / 1 Ml;;Venta Libre;Fuera de disposición;1 Frasco Por 15 Ml;49,91;0
17.195;19134;30500846301;Abbott Laboratories Argentina S.A.;07790440699218;No corresponde;Dayamineral Jarabe;Jarabe;Vitamina D 800 Ui / 10 Ml + Inositol 100 Mg / 100 Ml + Cianocobalamina ,06 Mg / 100 Ml + Ioduro De Potasio 1,962 Mg / 100 Ml + Retinol 6000 Ui / 10 Ml + Tiamina 30 Mg / 100 Ml + Piridoxina 20 Mg / 100 Ml + Nicotinamida 200 Mg / 100 Ml + Alcohol Pantotenilico 100 Mg / 100 Ml + Acido Ascorbico 1000 Mg / 100 Ml + Lactato De Calcio 3,168 G / 100 Ml + Hipofosfito De Calcio 1,647 G / 100 Ml + Fosfato Sodico De Riboflavina 32,9 Mg / 100 Ml + Bitartrato De Colina 209 Mg / 100 Ml + Hierro Gluconato 518 Mg / 100 Ml + Gluconato De Manganeso 87,6 Mg / 100 Ml + Gluconato De Zinc 78 Mg / 100 Ml + Gluconato De Magnesio 1,11 G / 100 Ml + Clorhidrato De Cisteina 100 Mg / 100 Ml;;Venta Libre;Fuera de disposición;1 Frasco Por 120 Ml;68,6;0
17.695;34765;30500846301;Abbott Laboratories Argentina S.A.;07790440470930;231134;Cofron Jarabe;Jarabe;Clofedianol 250 Mg / 100 Ml + Bromhexina 40 Mg / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 180 Ml;63,16;0
17.694;34765;30500846301;Abbott Laboratories Argentina S.A.;07790440470916;231134;Cofron Jarabe;Jarabe;Clofedianol 250 Mg / 100 Ml + Bromhexina 40 Mg / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 120 Ml;38,73;0
198.412;34765;30500846301;Abbott Laboratories Argentina S.A.;07790440470923;231134;Cofron Jarabe;Jarabe;Clofedianol 250 Mg / 100 Ml + Bromhexina 40 Mg / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 100 Ml;37,73;0
27.890;45932;30500846301;Abbott Laboratories Argentina S.A.;;;Alterna;Solucion Oral;Sulfato Ferroso 5,179 Mg + Cloruro De Magnesio ,278 Mg + L-Arginina ,683 Mg + Cianocobalamina 1,399 Mcg + Acido Folico ,7094 Mg + Cloruro De Potasio 26,7 Mg + Citrato De Potasio ,277 Mg + Palmitato De Vitamina A ,708 Mg + Tiamina Clorhidrato ,523 Mg + Riboflavina ,409 Mg + Piridoxina Clorhidrato ,504 Mg + Niacinamida 3,166 Mg + Biotina 61,7 Mcg + Pantotenato De Calcio 2,049 Mg + Acido Ascorbico 70 Mg + Vitamina D3 ,11507 Mg + L-Carnitina 16,9 Mg + Cloruro De Cromo 37,7 Mcg + Lecitina De Soja ,153 G + Molibdato De Sodio 38,8 Mcg + Taurina 20,5 Mg + Cloruro De Colina 61,2 Mg + Caseinato De Sodio 4,819 Mg + Aceite De Maiz ,611 G + Aceite De Canola 1,53 G + Sulfato Cuprico ,769 Mg + Fosfato Tricalcico Micronizado ,27 Mg + Fosfato Dibasico De Potasio ,069 Mg + Acetato De Alfa-Tocoferol 4,862 Mg + Aceite De Coco 1,53 G + Betacaroteno 3,01 Mg + Selenito De Sodio 14,7 Mg + Hidrolizado De Lactoalbumina 1,996 Mg + Filoquinona 8,445 Mcg + Sulfato De Manganeso 1,423 Mg + Zinc Sulfato 5,379 Mg;;Bajo Receta;;Envase Por 1000;;0
191.753;41928;30500846301;Abbott Laboratories Argentina S.A.;08002660011831;404880;Creon Forte;Capsula Dura;Amilasa 18000 U + Lipasa 25000 U + Proteasa 1000 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 50 Unidades;510,02;1
191.752;41928;30500846301;Abbott Laboratories Argentina S.A.;08002660011848;404880;Creon Forte;Capsula Dura;Amilasa 18000 U + Lipasa 25000 U + Proteasa 1000 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 20 Unidades;242,03;0
64.222;41928;30500846301;Abbott Laboratories Argentina S.A.;08002660011763;404880;Creon Forte;Capsula Dura;Amilasa 18000 U + Lipasa 25000 U + Proteasa 1000 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 100 Unidades;919,06;1
18.901;41928;30500846301;Abbott Laboratories Argentina S.A.;07795362054183;404880;Creon Forte;Capsula Dura;Amilasa 18000 U + Lipasa 25000 U + Proteasa 1000 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 50 Unidades;;1
18.894;41928;30500846301;Abbott Laboratories Argentina S.A.;07795362054176;404880;Creon Forte;Capsula Dura;Amilasa 18000 U + Lipasa 25000 U + Proteasa 1000 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 20 Unidades;;0
193.290;50824;30500846301;Abbott Laboratories Argentina S.A.;07703186027047;513358;Humira;Solucion Inyectable;Adalimumab 50 Mg / Ml;Alemania (Republica Federal De Alemania);Bajo Receta Archivada;3683/11;2 Jeringa Prellenada Por ,8 Ml;23636,95;0
191.233;38507;30500846301;Abbott Laboratories Argentina S.A.;07790440435618;419631-1;Lupron Depot 22.5;Polvo Liofilizado Para Inyectable;+ Leuprolida Acetato 22,5 Mg / Frasco Ampolla;;Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 22,5 Mg / Frasco Ampolla;10571,63;0
167.098;47774;30500846301;Abbott Laboratories Argentina S.A.;07703186049612;456071;Synagis;Polvo Liofilizado Para Inyectable;Palivizumab 100 Mg/Ml;Alemania (Republica Federal De Alemania);Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 100 Mg;21865,5;0
165.729;47166;30500846301;Abbott Laboratories Argentina S.A.;08002660011794;447939;Duspatalin;Capsula De Liberacion Prolongada;Mebeverina Clorhidrato 200 Mg;;Bajo Receta;Fuera de disposición;2 Blister Por 10 Unidades;139,9;0
138.280;38507;30500846301;Abbott Laboratories Argentina S.A.;07790440775417;312009-1;Lupron Depot 3.75;Polvo Liofilizado Para Inyectable;Leuprolida Acetato 3,75 Mg +;Japon (Japon);Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 3,75 Mg / Frasco Ampolla;2943,25;0
190.403;38507;30500846301;Abbott Laboratories Argentina S.A.;07790440362914;307125-1;Lupron Depot 7.5;Polvo Liofilizado Para Inyectable;Leuprolida Acetato 7,5 Mg / Frasco Ampolla +;Japon (Japon);Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 7,5 Mg / Frasco Ampolla;3817,59;0
184.678;43239;30500846301;Abbott Laboratories Argentina S.A.;07790440543016;366618;Isontyn 5 Mg;Comprimido Ranurado Dividosis;Terazosina (Como Clorhidrato) 5 Mg;;Bajo Receta;Fuera de disposición;Blister Por 14 Unidades;142,08;0
91.828;43239;30500846301;Abbott Laboratories Argentina S.A.;07790440543023;366618;Isontyn 5 Mg;Comprimido Ranurado Dividosis;Terazosina (Como Clorhidrato) 5 Mg;;Bajo Receta;Fuera de disposición;Blister Por 28 Unidades;284,15;0
147.841;48481;30500846301;Abbott Laboratories Argentina S.A.;08715554002760;469305;Influvac;Suspension Inyectable;A/Texas/50/2012 (H3N2)-Cepa Derivada Usada (Nymc X-223A) 15 Mcg Hemaglutinina + B/Massachusetts/2/2012-Cepa Derivada Usada (Nymc Bx-51B) 15 Mcg Hemaglutinina + A/California/7/2009 (H1N1) Pdm 09-Cepa Derivada Usada (Nymc X-181) 15 Mcg Hemaglutinina;;Bajo Receta;Fuera de disposición;1 Jeringa Prellenada Por ,5 Ml;130,34;0
148.545;38638;30500846301;Abbott Laboratories Argentina S.A.;07790440712627;610513;Valcote Er 500 Mg;Comprimido De Liberacion Controlada;Divalproato Sodico 500 Mg;;Bajo Receta;1831/12 Anexo;1 Frasco Por 50 Unidades;298,84;0
191.937;41928;30500846301;Abbott Laboratories Argentina S.A.;08002660011770;440652;Creon 10000;Capsula Dura;Amilasa 8000 U + Lipasa 10000 U + Proteasa 600 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 100 Unidades;519,44;1
191.936;41928;30500846301;Abbott Laboratories Argentina S.A.;08002660011787;440652;Creon 10000;Capsula Dura;Amilasa 8000 U + Lipasa 10000 U + Proteasa 600 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 50 Unidades;287,22;1
151.870;41928;30500846301;Abbott Laboratories Argentina S.A.;07795362054152;440652;Creon 10000;Capsula Dura;Amilasa 8000 U + Lipasa 10000 U + Proteasa 600 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 100 Unidades;;1
151.869;41928;30500846301;Abbott Laboratories Argentina S.A.;07795362054169;440652;Creon 10000;Capsula Dura;Amilasa 8000 U + Lipasa 10000 U + Proteasa 600 U;;Bajo Receta;Fuera de disposición;1 Frasco Por 50 Unidades;;1
153.072;57022;30500846301;Abbott Laboratories Argentina S.A.;08002660010728;622126;Luvox 100 Mg;Comprimido Recubierto;Fluvoxamina Maleato 100 Mg;;Bajo Receta Archivada (Psicotropicos Lista Iv);Fuera de disposición;Blister Por 30 Unidades;251,92;0
153.070;57022;30500846301;Abbott Laboratories Argentina S.A.;08002660010711;622126;Luvox 100 Mg;Comprimido Recubierto;Fluvoxamina Maleato 100 Mg;;Bajo Receta Archivada (Psicotropicos Lista Iv);Fuera de disposición;Blister Por 15 Unidades;125,77;0
156.127;45021;30500846301;Abbott Laboratories Argentina S.A.;07790440508510;;Betaserc 16 Mg;Comprimido;Betahistina Diclorhidrato 16 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;116,28;0
156.132;45021;30500846301;Abbott Laboratories Argentina S.A.;;;Betaserc 8 Mg;Comprimido;Betahistina Diclorhidrato 8 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;87,65;0
161.715;45679;30500846301;Abbott Laboratories Argentina S.A.;07790440320716;419532;Klaricid Forte;Granulado Para Suspensión Oral;Claritromicina 250 Mg;;Bajo Receta Archivada;Fuera de disposición;1 Frasco Por 60 Ml;188,63;0
161.718;53377;30500846301;Abbott Laboratories Argentina S.A.;07790440203521;;Actos M;Comprimido Recubierto;Metformina Clorhidrato 500 Mg + Pioglitazona Clorhidrato 15 Mg;;Bajo Receta;1831/12 Anexo;Frasco Por 30 Unidades;374,59;0
138.845;53377;30500846301;Abbott Laboratories Argentina S.A.;07790440203415;;Actos M;Comprimido Recubierto;Metformina Clorhidrato 850 Mg + Pioglitazona Clorhidrato 15 Mg;;Bajo Receta;1831/12 Anexo;1 Frasco Por 15 Unidades;230,44;0
162.221;53377;30500846301;Abbott Laboratories Argentina S.A.;07790440203422;;Actos M;Comprimido Recubierto;Metformina Clorhidrato 850 Mg + Pioglitazona Clorhidrato 15 Mg;;Bajo Receta;1831/12 Anexo;1 Frasco Por 30 Unidades;417,47;0
190.871;55154;30500846301;Abbott Laboratories Argentina S.A.;07790440207628;;Controlip;Capsula;Fenofibrato Micronizado 160 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;277,35;0
132.246;51591;30500846301;Abbott Laboratories Argentina S.A.;07790440307427;595684;Niaspan Cr 500 Mg;Comprimido Recubierto De Liberación Prolongada;Acido Nicotinico 500 Mg;;Bajo Receta;Fuera de disposición;1 Botella Por 30 Unidades;175,68;0
132.247;51591;30500846301;Abbott Laboratories Argentina S.A.;07790440307922;595697;Niaspan Cr 750 Mg;Comprimido Recubierto De Liberación Prolongada;Acido Nicotinico 750 Mg;;Bajo Receta;Fuera de disposición;1 Botella Por 30 Unidades;213,5;0
136.978;47774;30500846301;Abbott Laboratories Argentina S.A.;08002660010063;620426;Synagis;Polvo Liofilizado Para Inyectable;Palivizumab 50 Mg / Frasco Ampolla;Alemania (Republica Federal De Alemania);Bajo Receta Archivada;3683/11;1 Frasco Ampolla Por 50 Mg;12572,64;0
138.275;38507;30500846301;Abbott Laboratories Argentina S.A.;07790440604717;300335-1;Lupron;Solucion Inyectable;Leuprolida Acetato 5 Mg/Ml;Francia (Republica Francesa);Bajo Receta;1831/12 Anexo;1 Frasco Ampolla Por 2,8 Ml Y 14 Jeringas Descartables;1617,29;0
142.753;49278;30500846301;Abbott Laboratories Argentina S.A.;05013158775831;551513;Kaletra;Comprimido Recubierto;Lopinavir 200 Mg + Ritonavir 50 Mg;;Bajo Receta;3683/11;1 Botella Por 120 Unidades;6304,08;0
112.640;55109;30500846301;Abbott Laboratories Argentina S.A.;08002660011800;591626;Dicetel;Comprimido Recubierto;Bromuro De Pinaverio 100 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;184,65;0
112.641;55109;30500846301;Abbott Laboratories Argentina S.A.;08002660011817;591626;Dicetel;Comprimido Recubierto;Bromuro De Pinaverio 100 Mg;;Bajo Receta;Fuera de disposición;Blister Por 60 Unidades;357,34;0
112.639;55109;30500846301;Abbott Laboratories Argentina S.A.;08002660011824;591626;Dicetel;Comprimido Recubierto;Bromuro De Pinaverio 100 Mg;;Bajo Receta;Fuera de disposición;Blister Por 20 Unidades;123,03;0
120.905;45021;30500846301;Abbott Laboratories Argentina S.A.;07790440508619;;Betaserc 24 Mg;Comprimido;Betahistina Diclorhidrato 24 Mg;;Bajo Receta;Fuera de disposición;Blister Por 30 Unidades;156,7;0
142.754;49278;30500846301;Abbott Laboratories Argentina S.A.;07790440395615;485351;Kaletra;Solucion Oral;Lopinavir 80 Mg / 1 Ml + Ritonavir 20 Mg / 1 Ml;Estados Unidos (Estados Unidos De America);Bajo Receta;3683/11;1 Frasco Por 160 Ml;2974,83;0
122.092;51591;30500846301;Abbott Laboratories Argentina S.A.;07790440308028;595700;Niaspan Cr 1000 Mg;Comprimido Recubierto De Liberación Prolongada;Acido Nicotinico 1000 Mg;;Bajo Receta;Fuera de disposición;1 Botella Por 30 Unidades;264,4;0
123.476;35746;30500846301;Abbott Laboratories Argentina S.A.;07790440568118;255473;Depakene;Capsula Blanda;Acido Valproico 250 Mg;;Bajo Receta;Fuera de disposición;1 Frasco Por 50 Unidades;131,82;0
124.413;35746;30500846301;Abbott Laboratories Argentina S.A.;07790440568217;265480;Depakene;Jarabe;Acido Valproico 5 G / 100 Ml;;Bajo Receta;Fuera de disposición;1 Frasco Por 120 Ml;73,1;0
89.355;38638;30500846301;Abbott Laboratories Argentina S.A.;07790440156414;456774;Valcote Iv;Solucion Inyectable;Valproato Sodico 100 Mg / Ml;;Bajo Receta;1831/12 Anexo;10 Frasco Ampolla Por 5 Ml;1316,91;0
89.578;48152;30500846301;Abbott Laboratories Argentina S.A.;;;Jevity Plus;Solucion;Carbonato De Calcio 90,4 Mg % + Fosfato De Magnesio 152 Mg % + Carboximetilcisteina ,109 Mg % + Sulfato Ferroso 5,1 Mg % + Cloruro De Magnesio  Cs + Dextrosa  Cs + Cianocobalamina ,4 Mcg % + Acido Folico 40,9 Mcg % + Vitamina K1 9,8 Mcg % + Ioduro De Potasio 21,6 Mcg % + Cloruro De Potasio 249 Mg % + Citrato De Potasio ,141 Mg % + Retinol 271 Mcg % + Betacaroteno 249 Mcg % + Riboflavina 325 Mcg % + Niacinamida 1,6 Mg % + Biotina 6,4 Mcg % + Pantotenato De Calcio 1,3 Mg % + Acido Ascorbico 21,7 Mg % + Vitamina D3 53,1 Mcg % + Tocoferol 5,572 Mg % + L-Carnitina 10,1 Mg % + Fosfato Tricalcico 27,1 Mg % + Sulfato De Manganeso 1,2 Mg % + Carboximetilcelulosa Sodica 107 Mg % + Sulfato De Cobre 585 Mcg % + Zinc Sulfato 3,4 Mg % + Cloruro De Cromo 17,4 Mcg % + Agua 80,7 G % + Acido Citrico 3 G % + Lecitina ,197 Mg % + Molibdato De Sodio 27,2 Mcg % + Caseinato De Calcio 1,5 G % + Taurina 16,2 Mg % + Cloruro De Colina 68,2 Mg % + Caseinato De Sodio 3,3 G % + Aceite De Maiz ,76 G % + Aceite De Canola 1,1 G % + Aislado De Proteina De Soja 1,25 G % + Tiamina Clorhidrato 336 Mcg % + Piridoxina Clorhidrato 401 Mcg % + Fosfato Dibasico De Potasio ,033 Mg % + Selenato De Sodio 17,9 Mcg % + Dextrinas Y Maltosa 12,943 Mg % + Aceite De Coco 1,066 Mg % + Hidroxido De Potasio 8,4 Mg % + Citrato De Sodio 217 Mg % + Dl Alfatocoferol Acetato 2,5 Mg % + Aceite De Girasol 1,1 G % + Fructooligasacarido 1,1 Mg % + Maltodextrina De18 21,1 G % + Fibra De Soja Fibrim 300 726 Mg %;;Bajo Receta;;Envase Por 500;;0
